location	São Miguel Arcanjo	-23.8807771	-47.9963492
location	São Sebastião	-23.8027866	-45.4070527
location	Cachoeiras de Macacu	-22.4626861	-42.6534414
location	Vassouras	-22.4093928	-43.6609318
location	Tiradentes	-21.1104688	-44.1742937
location	Itatiaia	-22.4955278	-44.5633108
location	Conceição do Rio Verde	-21.881078	-45.0868526
location	Valinhos	-22.97056	-46.99583
location	Brás Pires	-20.8483109	-43.2430524
location	Silva Jardim	-22.6509706	-42.3947353
location	Caraguatatuba	-23.62028	-45.41306
location	Caçapava	-23.099204	-45.707645
location	Osasco	-23.5324859	-46.7916801
location	Eldorado	-24.522583	-48.1093489
location	Barra do Turvo	-24.756421	-48.5056942
location	Mairipora	-23.3186111	-46.5866667

